State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
Maharashtra,AHMEDNAGAR,1997,Autumn     ,Maize,1.0,1113.0
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Arhar/Tur,17600.0,6300.0
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Bajra,274100.0,152800.0
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Gram,40800.0,18600.0
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Jowar,900.0,1100.0
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Maize,4400.0,4700.0
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Moong(Green Gram),10200.0,900.0
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Pulses total,451.0,130.0
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Ragi,2600.0,2100.0
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Rice,5900.0,7200.0
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Sugarcane,45900.0,38940.0
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Total foodgrain,3384.0,1836.0
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Urad,1600.0,800.0
Maharashtra,AHMEDNAGAR,1997,Rabi       ,Jowar,598400.0,217000.0
Maharashtra,AHMEDNAGAR,1997,Rabi       ,Maize,6200.0,9100.0
Maharashtra,AHMEDNAGAR,1997,Rabi       ,Other  Rabi pulses,60.0,3.0
Maharashtra,AHMEDNAGAR,1997,Rabi       ,Wheat,79700.0,87100.0
Maharashtra,AHMEDNAGAR,1997,Summer     ,Maize,1100.0,1900.0
Maharashtra,AHMEDNAGAR,1997,Whole Year ,Cotton(lint),98.0,17900.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Arhar/Tur,18800.0,9700.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Bajra,302400.0,243900.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Castor seed,400.0,100.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Cotton(lint),12100.0,19900.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Groundnut,7100.0,6200.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Jowar,300.0,500.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Maize,5800.0,12500.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Moong(Green Gram),15600.0,9100.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Niger seed,2100.0,900.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Other Cereals & Millets,4100.0,2400.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Other Kharif pulses,16800.0,7000.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Ragi,3000.0,2100.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Rice,5600.0,7400.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Sesamum,900.0,300.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Soyabean,4600.0,5500.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Sugarcane,59600.0,5231800.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Sunflower,11500.0,3500.0
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Urad,2800.0,1300.0
Maharashtra,AHMEDNAGAR,1998,Rabi       ,Gram,59600.0,40900.0
Maharashtra,AHMEDNAGAR,1998,Rabi       ,Jowar,453200.0,227900.0
Maharashtra,AHMEDNAGAR,1998,Rabi       ,Linseed,1200.0,400.0
Maharashtra,AHMEDNAGAR,1998,Rabi       ,Maize,7900.0,12200.0
Maharashtra,AHMEDNAGAR,1998,Rabi       ,Other  Rabi pulses,500.0,300.0
Maharashtra,AHMEDNAGAR,1998,Rabi       ,Other Cereals & Millets,3000.0,3700.0
Maharashtra,AHMEDNAGAR,1998,Rabi       ,Rapeseed &Mustard,200.0,
Maharashtra,AHMEDNAGAR,1998,Rabi       ,Safflower,30000.0,18500.0
Maharashtra,AHMEDNAGAR,1998,Rabi       ,Sesamum,400.0,100.0
Maharashtra,AHMEDNAGAR,1998,Rabi       ,Sunflower,9200.0,5100.0
Maharashtra,AHMEDNAGAR,1998,Rabi       ,Wheat,124400.0,154200.0
Maharashtra,AHMEDNAGAR,1998,Summer     ,Groundnut,15000.0,25700.0
Maharashtra,AHMEDNAGAR,1998,Summer     ,Maize,1500.0,2300.0
Maharashtra,AHMEDNAGAR,1998,Summer     ,Sunflower,300.0,200.0
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Arhar/Tur,19000.0,9900.0
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Bajra,310600.0,178300.0
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Castor seed,700.0,200.0
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Cotton(lint),15000.0,22600.0
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Groundnut,7300.0,5400.0
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Jowar,800.0,700.0
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Maize,6400.0,9500.0
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Moong(Green Gram),16800.0,3700.0
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Niger seed,2000.0,500.0
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Other Kharif pulses,17400.0,5100.0
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Ragi,2600.0,2500.0
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Rice,5700.0,8000.0
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Sesamum,900.0,200.0
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Small millets,600.0,500.0
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Soyabean,7500.0,10400.0
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Sunflower,11200.0,3900.0
Maharashtra,AHMEDNAGAR,1999,Kharif     ,Urad,3200.0,800.0
Maharashtra,AHMEDNAGAR,1999,Rabi       ,Gram,55300.0,34600.0
Maharashtra,AHMEDNAGAR,1999,Rabi       ,Jowar,498300.0,190900.0
Maharashtra,AHMEDNAGAR,1999,Rabi       ,Linseed,1100.0,300.0
Maharashtra,AHMEDNAGAR,1999,Rabi       ,Maize,8800.0,13900.0
Maharashtra,AHMEDNAGAR,1999,Rabi       ,Other  Rabi pulses,1600.0,700.0
Maharashtra,AHMEDNAGAR,1999,Rabi       ,Rapeseed &Mustard,100.0,0.0
Maharashtra,AHMEDNAGAR,1999,Rabi       ,Safflower,32200.0,16500.0
Maharashtra,AHMEDNAGAR,1999,Rabi       ,Sesamum,400.0,100.0
Maharashtra,AHMEDNAGAR,1999,Rabi       ,Small millets,800.0,200.0
Maharashtra,AHMEDNAGAR,1999,Rabi       ,Sunflower,8800.0,5000.0
Maharashtra,AHMEDNAGAR,1999,Rabi       ,Wheat,127000.0,178800.0
Maharashtra,AHMEDNAGAR,1999,Summer     ,Groundnut,14100.0,27800.0
Maharashtra,AHMEDNAGAR,1999,Summer     ,Maize,1700.0,2800.0
Maharashtra,AHMEDNAGAR,1999,Summer     ,Sunflower,300.0,200.0
Maharashtra,AHMEDNAGAR,1999,Whole Year ,Sugarcane,66600.0,5962900.0
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Arhar/Tur,19100.0,9400.0
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Bajra,326100.0,187300.0
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Castor seed,500.0,200.0
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Cotton(lint),15700.0,25600.0
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Groundnut,6800.0,6100.0
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Jowar,800.0,700.0
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Maize,7000.0,4400.0
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Moong(Green Gram),19400.0,8400.0
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Niger seed,2300.0,600.0
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Other Kharif pulses,19100.0,6400.0
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Ragi,4800.0,4300.0
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Rice,5500.0,3800.0
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Sesamum,1100.0,200.0
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Small millets,2700.0,1500.0
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Soyabean,7200.0,6200.0
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Sunflower,10500.0,5300.0
Maharashtra,AHMEDNAGAR,2000,Kharif     ,Urad,3400.0,1800.0
Maharashtra,AHMEDNAGAR,2000,Rabi       ,Gram,61000.0,30300.0
Maharashtra,AHMEDNAGAR,2000,Rabi       ,Jowar,518700.0,160800.0
Maharashtra,AHMEDNAGAR,2000,Rabi       ,Linseed,1200.0,300.0
Maharashtra,AHMEDNAGAR,2000,Rabi       ,Maize,14000.0,16200.0
Maharashtra,AHMEDNAGAR,2000,Rabi       ,Other  Rabi pulses,600.0,200.0
Maharashtra,AHMEDNAGAR,2000,Rabi       ,Rapeseed &Mustard,200.0,100.0
Maharashtra,AHMEDNAGAR,2000,Rabi       ,Safflower,30400.0,14500.0
Maharashtra,AHMEDNAGAR,2000,Rabi       ,Sesamum,400.0,100.0
Maharashtra,AHMEDNAGAR,2000,Rabi       ,Sunflower,7800.0,4000.0
Maharashtra,AHMEDNAGAR,2000,Rabi       ,Wheat,94700.0,135800.0
Maharashtra,AHMEDNAGAR,2000,Summer     ,Groundnut,11000.0,18300.0
Maharashtra,AHMEDNAGAR,2000,Summer     ,Sunflower,200.0,100.0
Maharashtra,AHMEDNAGAR,2000,Whole Year ,Sugarcane,67100.0,5163900.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Arhar/Tur,16700.0,5400.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Bajra,194400.0,82000.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Castor seed,200.0,100.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Cotton(lint),13500.0,16700.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Groundnut,5700.0,4500.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Jowar,200.0,100.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Maize,6400.0,9800.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Moong(Green Gram),21000.0,3600.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Niger seed,2200.0,400.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Other Kharif pulses,8900.0,2200.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Ragi,4600.0,7000.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Rice,7300.0,4100.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Sesamum,800.0,300.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Small millets,1400.0,900.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Soyabean,7600.0,9000.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Sunflower,8600.0,2900.0
Maharashtra,AHMEDNAGAR,2001,Kharif     ,Urad,4500.0,900.0
Maharashtra,AHMEDNAGAR,2001,Rabi       ,Gram,60000.0,33100.0
Maharashtra,AHMEDNAGAR,2001,Rabi       ,Jowar,528900.0,175000.0
Maharashtra,AHMEDNAGAR,2001,Rabi       ,Linseed,1300.0,300.0
Maharashtra,AHMEDNAGAR,2001,Rabi       ,Maize,12300.0,22600.0
Maharashtra,AHMEDNAGAR,2001,Rabi       ,Other  Rabi pulses,800.0,400.0
Maharashtra,AHMEDNAGAR,2001,Rabi       ,Rapeseed &Mustard,100.0,10.0
Maharashtra,AHMEDNAGAR,2001,Rabi       ,Safflower,27400.0,11700.0
Maharashtra,AHMEDNAGAR,2001,Rabi       ,Sesamum,200.0,10.0
Maharashtra,AHMEDNAGAR,2001,Rabi       ,Small millets,6000.0,2900.0
Maharashtra,AHMEDNAGAR,2001,Rabi       ,Sunflower,5400.0,7000.0
Maharashtra,AHMEDNAGAR,2001,Rabi       ,Wheat,93800.0,156300.0
Maharashtra,AHMEDNAGAR,2001,Summer     ,Groundnut,11000.0,17200.0
Maharashtra,AHMEDNAGAR,2001,Summer     ,Maize,1500.0,2100.0
Maharashtra,AHMEDNAGAR,2001,Summer     ,Sunflower,100.0,100.0
Maharashtra,AHMEDNAGAR,2001,Whole Year ,Sugarcane,52000.0,3596300.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Arhar/Tur,14600.0,5700.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Bajra,218400.0,158900.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Castor seed,100.0,10.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Cotton(lint),10800.0,8300.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Groundnut,5800.0,4000.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Jowar,100.0,100.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Maize,7000.0,12300.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Moong(Green Gram),21000.0,10100.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Niger seed,2600.0,700.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Other Kharif pulses,13600.0,2400.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Ragi,4600.0,3900.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Rice,7400.0,1700.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Sesamum,1300.0,200.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Small millets,3400.0,1300.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Soyabean,15100.0,18800.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Sunflower,9300.0,3500.0
Maharashtra,AHMEDNAGAR,2002,Kharif     ,Urad,4700.0,2200.0
Maharashtra,AHMEDNAGAR,2002,Rabi       ,Gram,64500.0,26500.0
Maharashtra,AHMEDNAGAR,2002,Rabi       ,Jowar,494900.0,117300.0
