State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
,,,,,,
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Arhar/Tur,17600,6300
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Bajra,274100,152800
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Gram,40800,18600
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Jowar,900,1100
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Maize,4400,4700
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Moong(Green Gram),10200,900
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Pulses total,451,130
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Ragi,2600,2100
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Rice,5900,7200
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Sugarcane,45900,38940
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Total foodgrain,3384,1836
Maharashtra,AHMEDNAGAR,1997,Kharif     ,Urad,1600,800
Maharashtra,AHMEDNAGAR,1997,Rabi       ,Jowar,598400,217000
Maharashtra,AHMEDNAGAR,1997,Rabi       ,Maize,6200,9100
Maharashtra,AHMEDNAGAR,1997,Rabi       ,Other  Rabi pulses,60,3
Maharashtra,AHMEDNAGAR,1997,Rabi       ,Wheat,79700,87100
Maharashtra,AHMEDNAGAR,1997,Summer     ,Maize,1100,1900
Maharashtra,AHMEDNAGAR,1997,Whole Year ,Cotton(lint),98,17900
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Arhar/Tur,18800,9700
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Bajra,302400,243900
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Castor seed,400,100
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Cotton(lint),12100,19900
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Groundnut,7100,6200
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Jowar,300,500
Maharashtra,AHMEDNAGAR,1998,Kharif     ,Maize,5800,12500
