,Crop,N,P,K,pH
0,Rice,80,40,40,5.5
1,Jowar(Sorghum),80,40,40,5.5
2,Barley(JAV),70,40,45,5.5
3,Maize,80,40,20,5.5
4,Ragi( naachnnii),50,40,20,5.5
5,Chickpeas(Channa),40,60,80,5.5
6,French Beans(Farasbi),90,125,60,5.0
7,Fava beans (Papdi - Val),90,125,60,5.0
8,Lima beans(Pavta),40,60,20,5.0
9,Cluster Beans(Gavar),25,50,25,5.0
10,Soyabean,20,60,20,5.5
11,Black eyed beans( chawli),20,60,20,5.5
12,Kidney beans,20,60,20,5.5
13,pigeon peas(Toor Dal),20,60,20,5.5
14,Moth bean(Matki),20,40,20,5.5
15,Mung beans,20,40,20,5.5
16,Green Peas,40,35,55,6.0
17,Horse Gram(kulthi),20,60,20,6.0
18,Black Gram,40,60,20,5.0
19,Rapeseed (Mohri),50,40,20,5.0
20,Coriander seeds,90,20,20,6.5
21,Mustard seeds,100,30,15,6.5
22,sesame seed,30,15,30,6.5
23,Cumin seeds,90,60,20,6.5
24,Lentils(Masoor Dal),20,60,20,5.5
25,Brinjal,80,15,40,6.5
26,Beetroot,120,50,100,5.5
27,Bitter Gourd,60,10,20,6.5
28,Bottle Gourd,100,50,50,6.5
29,Capsicum,100,20,60,6.5
30,Cabbage,100,65,70,6.5
31,Carrot,40,45,60,5.5
32,Cauliflower,80,70,50,6.5
33,Cucumber,60,60,85,6.5
34,Coriander leaves,10,20,20,6.5
35,Curry leaves,20,20,20,6.5
36,Drumstick – moringa,40,20,10,6.5
37,Chili,120,20,80,6.5
38,Lady Finger,80,10,40,6.5
39,Mushroom,100,50,60,6.5
40,Onion,120,60,65,6.0
41,Potato,180,60,90,5.0
42,Pumpkin,80,50,30,5.5
43,Radish,25,100,50,6.0
44,Olive,100,60,30,6.5
45,Sweet Potato,90,20,120,5.0
46,Fenugreek Leaf(methi),30,25,40,6.0
47,Spinach,60,60,50,6.0
48,Ridgegourd,90,50,20,6.5
49,Gooseberry(Amla),20,50,20,4.5
50,Jambun(Syzygium cumini),10,10,10,4.2
51,Ziziphus mauritiana(Bor),20,10,10,6.0
52,Garcinia indica(kokam),40,25,50,4.2
53,Tamarind,20,15,25,3.1
54,Tapioca(Suran),50,50,50,5.5
